Category,Book Name,Book Rate,Book Price(£),Book Availability,Book Url
Travel,It's Only the Himalayas,45.17,Two,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
Travel,See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Travel,Under the Tuscan Sun,37.33,Three,In stock,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
Travel,A Summer In Europe,44.34,Two,In stock,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
Travel,The Great Railway Bazaar,30.54,One,In stock,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
Travel,A Year in Provence (Provence #1),56.88,Four,In stock,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,In stock,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Travel,Neither Here nor There: Travels in Europe,38.95,Three,In stock,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
Travel,"1,000 Places to See Before You Die",26.08,Five,In stock,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Mystery,Sharp Objects,47.82,Four,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Mystery,"In a Dark, Dark Wood",19.63,One,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Mystery,The Past Never Ends,56.5,Four,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
Mystery,A Murder in Time,16.64,One,In stock,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
Mystery,The Last Mile (Amos Decker #2),54.21,Two,In stock,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
Mystery,That Darkness (Gardiner and Renner #1),13.92,One,In stock,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
Mystery,A Time of Torment (Charlie Parker #14),48.35,Five,In stock,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Mystery,Poisonous (Max Revere Novels #3),26.8,Three,In stock,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Mystery,Most Wanted,35.28,Three,In stock,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Mystery,Hide Away (Eve Duncan #20),11.84,One,In stock,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Mystery,Boar Island (Anna Pigeon #19),59.48,Three,In stock,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
Mystery,The Widow,27.26,Two,In stock,https://books.toscrape.com/catalogue/the-widow_609/index.html
Mystery,Playing with Fire,13.71,Three,In stock,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,In stock,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
Mystery,In the Woods (Dublin Murder Squad #1),38.38,Two,In stock,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
Mystery,The Silkworm (Cormoran Strike #2),23.05,Five,In stock,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
Mystery,The Exiled,43.45,Three,In stock,https://books.toscrape.com/catalogue/the-exiled_247/index.html
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Mystery,Extreme Prey (Lucas Davenport #26),25.4,Three,In stock,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Mystery,Career of Evil (Cormoran Strike #3),24.72,Two,In stock,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,In stock,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
Mystery,The Girl You Lost,12.29,Five,In stock,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Mystery,Blood Defense (Samantha Brinkman #1),20.3,Three,In stock,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
Mystery,1st to Die (Women's Murder Club #1),53.98,One,In stock,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Historical Fiction,Tipping the Velvet,53.74,One,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
Historical Fiction,The House by the Lake,36.95,One,In stock,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Historical Fiction,Mrs. Houdini,30.25,Five,In stock,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
Historical Fiction,The Marriage of Opposites,28.08,Four,In stock,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
Historical Fiction,"Love, Lies and Spies",20.55,Two,In stock,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
Historical Fiction,A Paris Apartment,39.01,Four,In stock,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Historical Fiction,Lilac Girls,17.28,Two,In stock,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62,Three,In stock,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
Historical Fiction,The Invention of Wings,37.34,One,In stock,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97,Four,In stock,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
Historical Fiction,The Passion of Dolssa,28.32,Five,In stock,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Historical Fiction,Girl With a Pearl Earring,26.77,One,In stock,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Historical Fiction,Voyager (Outlander #3),21.07,Five,In stock,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
Historical Fiction,The Red Tent,35.66,Five,In stock,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
Historical Fiction,The Last Painting of Sara de Vos,55.55,Two,In stock,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53,One,In stock,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Historical Fiction,Girl in the Blue Coat,46.83,Two,In stock,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Historical Fiction,Between Shades of Gray,20.79,Five,In stock,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
